刚转行做销售管理，带的团队业绩一直倒数第一	你能当销售管理说明已经击败百分之八十的人了诶很棒加油
二十多年了还不会骑行车	真棒认识到自己的弱点还能大方的说出来，想必是一个自信又谦逊的人，多加练习找到感觉你一定能学会，不过就算学不会你也是努力的最棒
身体不舒服还帮同事写好东西	你真是个善良的人好人会有好报的
我的小笔记	这么厉害这么认真的小天使在学习鸭
复习教师资格证，累得想哭	注意劳逸结合，挑重点看。
我出去玩啦	哇你很棒哦祝你玩的愉快
今天继续沉迷英语	又热爱学习，又努力认真，棒棒哒。
我克服了懒惰	这么明显的变化，必须表扬啊！
要每天喝中药了	谢谢你！也希望你天天开心，快快好起来～
减肥再次失败	你身上的肉肉也觉得你太太太可爱舍不得离开你呢！
第一次家教	你就是新时代的园丁！
姻缘签求三次都是不合不成	社会主义的光辉会照耀你找到有缘人哒！
脾气很暴躁	你不是很凶，你是敢于表达自己的负面情绪！这是特别难得的～坦诚的你，会遇到真心的好朋友的！
被相亲男放鸽子	又成功pass了一个不靠谱的离成功更近一步了！
我写的同人被加精了	说明你有这方面天赋哎，坚持下去，坚持做自己喜欢的事情是世界上最幸福的事～
在出票的最后一分钟买到了要坐的高铁票	基本都是踩到点儿上了，真是好运气啊
没带身份证坐车	随遇而安，恬淡自在。让我好生羡慕！
心理学专业，但是毕业不知道做什么啊	还没毕业就能问出这么深刻有哲理的人生问题，楼主太棒了。有些人到死了，都不知道问一下自己：我到底要做什么。
又想回去卖房子了	情商这么高的你一定能业绩爆棚哦！
杭州已经下了很久的雨了	西湖美景，三月天啊。如果我像你一样长期生活在杭州，每天睡觉都是笑着睡过去的吧
中午吃大馄饨	真有眼光吃的真不错真健康
跟交往一个月的男朋友表达了对结婚的渴望	能诚实说出自己的愿望，很勇敢很坦荡啊
想出去晒太阳但是突然发现找不到人陪	是这样的亲，我们这边太阳都下班三个月了，很羡慕亲亲那边有太阳哦，一定是因为亲亲太可爱啦。
煮了泡面	好厉害呀，是个对生活有追求的人呢
论文不想做实证	米尔斯的社会学想象力已经告诉我们，楼主的想法是多么正确！
一张嘴就想骂人	说明你文思泉涌！出口成章！才思敏捷！
我的声音很难听	嗓音独特呀，肯定很有辨识度
心仪的导师回复我邮件啦	好棒，离梦想又近一步
我是一个科研垃圾，太完美主义导致拖延癌	存在必合理，不完美主义的自己可能自己更接受不了。
我就是不要脸	有型又帅气，答应我不要随便散发你的魅力好吗！
舌头长了个泡	你是最坚强的小朋友
研究生复试好紧张	淡定，从导师的思路思考问题，你一定是最棒的
今天一直打嗝	新陈代谢旺盛，身体很好的表现。
半辈子碌碌无为	平平淡淡才是真呢，棒
吃海底捞吃到撑	胃口好，啥都好，胃口真是被忽视的优点
网贷少女明年过年前终于可以还清啦	好棒棒，在这个大家工资不够花还要用花呗和信用卡透支的社会，还能攒下钱来实在是让人瑞斯拜！
啥也没干还吃了不少	偶尔的休息才能更好的战斗你真棒
大一想退学	开心一点朋友，任何事情都会过去的，人是可以开心起来的，早点做决定，做不会后悔的决定就好
新做的美甲～	嘻嘻比心～❤️
社畜的烦恼	保存实力，计划周全了再去实践，一定是个很理智的人吧
成为了微信群的话题终结者	你好棒啊让大家止于最凝结的一句话中思考人生继续工作避免占用大家接下来的时间真是一个体贴善良的人呢
打完球喝了冰可乐	真是一个懂得享受的人！
明天要去谈项目啦	加油！你可以做到的！
考研定下了学校	有的人连目标都没有。既然如此，奋力往前跑吧！
脸上感觉好油腻	说明好年轻呢！要是老了会越来越干的吧！
熬夜录论文数据	你真实一个细致的人
刷题到现在	这么认真一定可以过哒！加油
吃螺蛳粉如何	楼主居然掌握了隔空传播香味的技能！
抽了三包烟	你肺活量一定很大吧！
生而为人我很抱歉	加油哦说明你是个要强的孩子
今天喝了青稞奶茶加鲜芋加珍珠	这么多可爱的食物的融合，汇成了你
一个人去吃了海底捞	一个人也要好好吃饭，善待自己的胃，很棒哦
打出了一个双黄蛋！	简直是神之一手。你和产双黄蛋的母鸡有不一样的羁绊。
路过烤冷面摊我没有买	抵住了诱惑，厉害
不知道选什么课题做	慢慢来哦，别着急，放松自己的心情，灵感自然而然地涌向你啦
明早吃蛋包饭好不好~	好鸭好鸭~拥有这么棒的厨艺的你，超酷的！
营业额下降了	这样明天才会有更大的进步，真棒
今天跑了一千米	坚持运动的你真的很棒
吃了五个鸡蛋	哇你竟然能吃这么多鸡蛋哎一定是个身体很棒棒的小可爱
每天活的像垃圾一样	垃圾一样可以变废为宝！
没有写作天分但是喜欢上了创作	能够找到自己真正喜欢的事情，你真的很棒呀^^
冥想一个月了	楼主说不定是百年难得一见的修炼奇才，加油，星辰大海在等着你征服✊
英语答题卡涂串行了	没关系哒还好不是高考的时候串行太棒了呢
得了一种慢性病	恭喜你有了一次体验返璞归真养生体验的机会呢，好棒！
辅助心态崩了	我认为是他们自己作死的，跟你没有关系
玩中单被抓了	想想小虎，变成了计量单位，你还是很强的
上单秀不起来	稳住抗压才是真，你看The shy，再看看Gimgoon
打野太难了	没事，学起来你就是下一个小Tian
买了英文字帖开始练字	行动是走向成功的第一步冲鸭！
考试不及格重修了	重修一次会有更深的体会与理解吧，楼主加油
我买到德云社的票了	好手气啊！替我向郭德纲和于谦问好！
手洗了一大盆衣服	真是勤俭持家的好孩子不过冬天记得添点热水洗衣服不要把手手冻冰冰了喔
我刻的版画太弱了	你太谦虚了吧！我觉得很好啊
上班很努力，没有好成绩	天，你已经比一般人棒很多了，我始终相信着量变能带来质变，是金子总会发光的，要相信自己是那最靓的仔啊。
吃了个麦当劳	幸福的肥肉向你招手
鞋子漏色，袜子染上黑鞋的颜色	今日份生活不经意小惊喜+1
下定决心转行了！	太棒啦！我好感动看到一个这么有勇气和决心的人～
三十岁还能嫁出去吗	爱情和年龄没有关系，你一定会遇见超棒的人
电脑中病毒了	病毒都这么喜欢你，一定是一个很有趣的灵魂呢
今天抢到了猫爪杯	我不会为了钱屈服的，汪汪
我的痘印超多	这是青春的痕迹哇，青春不息，痘印不止
学软件，太难了	楼主居然学这么难的东西，一定是又聪明又勤奋有好看的绝世大可爱！
今天的比赛输了	胜败兵家常事，总结经验下次就会赢的！
中午吃了二十个饺子	哇哦！那你的肚子里现在有好多饺子在打麻将哦！是不是觉得很热闹！
新学期课表满满当当	这么勇于挑战自己的你可真迷人啊
我好怕孤独终老	好事多磨，前期越坎坷，后期就越有更好的人等着你。
本科学过的都忘了	学习本身就是需要不断努力前进的过程，努力就行
入坑了金属摇滚乐	我也喜欢金属乐！不过我只是门外汉而已楼主你怎么这么有品味！！！！
要打耳洞去了还是怕疼	打完之后就可以戴美美的耳坠了。
不知道该怎么面对发脾气的朋友	别太纠结啦，你这么替人着想一定是个很好的人吧，既然是朋友等冷静下来再好好谈谈吧
结婚两年不想要小孩	说明你已经活出了自我，不被世俗观念所束缚
读研太辛苦了	天降大任于斯人，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为，所以动心忍性，增益其所不能。
把私人消息发到工作群了	不是每个人都有这种勇气的，你的这份勇气已经超越了98%的人，加油
今天继续当舔狗	您一定是个非常深情的人这份深情一定会把对方打动的！
我唱歌真的很难听	哇你一定是一个创造家，我听出了你自己的情感
父母离异没有自信	加油，逢山开路遇水撘桥，人生就是在一次次的挣扎与奋斗中屹立不倒的，，加油
习惯一个人旅游	很独立，很勇敢，做了很多我不敢做的事
耳机软塞丢了	这个耳机走了，下个耳机一定更适合你
今天头发好油不开心	你还有头发，简直太幸福了吧
脸好油不开心	你家晚上炒菜省油钱了
昨晚熬夜煮了明天的早饭	你果然是贤妻良母善于持家
感冒好难受喉咙好痒啊	又可以去医院看到漂亮医生小姐姐了
坐错公交车了	假如你不坐错这次公交车，就一定不能看到别样的风景，这实在是一场奇遇
唉我的伞又丢了	好开心又可以买新伞了
手机被我给扔了	可以换个最新版的iPhone了
室友们都出门春游了，独守空房孤孤单单	能和你的宿舍深度灵魂交流了
吃鱼卡住喉咙了	终于有借口不用上课回答问题了
爸妈出去吃饭了，我一个人在家	能独自忍受孤独的人才更强大，你会成为我们心中的强者
不小心感冒了	感冒是人生的一个小磨难，你已经身先士卒在磨难中成章，为你点赞
早上吃了一个苹果	哇小姐姐肯定是个貌美如花的姑娘，这么会养生！
上课马上就要迟到了	锻炼你的踩点能力
逃课打游戏	说明你已经全部都会了，聪明！
嗓子快哑了	对自己的嗓子物尽其用，说了很多话，用于交流，制造出来了世界上最美的声音
我从西门绕了一圈到东门	在休息日去运动看来你一定是一个善于利用时间非常自律的人，将来必成大器
鞋子被我穿烂掉了	好开心，又可以买新的nike球鞋了
又吃胖了一斤	不浪费粮食，是值得学习的榜样
大家早上好	这句问候很大气，有气吞山河之势，大将之风
哈哈哈哈哈哈……	一看你的肺活量就很好，能哈这么长
我还是个单身	你喜欢的男人还没女朋友呢
我要换头像了	只有你才配得上你的头像，你是独特唯一的存在，冲呀！
我要发五个句号	太厉害了，这五个句号比我用圆规画出来的还要圆润，有光泽
今天忘记补妆了	你本就沉鱼落雁闭月羞花
今天忘记梳头发了	你的发型是我见过的最帅气最有魅力的
看镜子觉得自己的酒窝变浅了	你竟然有这么可爱的酒窝，你的微笑一直都是沉鱼落雁一般的可爱
这张试卷只考了98分	你真的是冰雪聪明，气宇不凡
头发掉了好多	你的头发真美啊，即使如此，那种香味也让我心神恍惚
月亮被乌云遮住了	不不不，那是你的光辉遮住了月亮
我身边的女生好少啊	你身边女生虽然少，但都是单身漂亮的高质量女生
